Player,2021-22
Stanley Johnson\johnsst04,"$888,616"
Miye Oni\onimi01,"$850,331"
Wayne Selden\seldewa01,"$785,102"
Goran Dragić\dragigo01,"$20,168,742"
Brad Wanamaker\wanambr01,"$705,598"
Alize Johnson\johnsal02,"$705,598"
DeMarcus Cousins\couside01,"$1,290,481"
Shaun Livingston\livinsh01,"$666,666"
Sam Merrill\merrisa01,"$663,024"
Danuel House Jr.\houseda01,"$2,045,094"
D.J. Augustin\augusdj01,"$7,622,467"
DeMarcus Cousins\couside01,"$1,290,481"
Luke Kornet\kornelu01,"$606,702"
DeAndre' Bembry\bembrde01,"$2,541,217"
DeAndre Jordan\jordade01,"$11,109,327"
Ryan Arcidiacono\arcidry01,"$586,136"
Keifer Sykes\sykeske01,"$558,345"
Caleb Martin\martica02,"$527,614"
Tomáš Satoranský\satorto01,"$10,468,119"
Georgios Kalaitzakis\kalaige01,"$462,629"
Jevon Carter\carteje01,"$4,107,149"
Gary Clark\clarkga01,"$377,645"
Devontae Cacok\cacokde01,"$364,533"
Sam Dekker\dekkesa01,"$350,000"
Sam Hauser\hausesa01,"$313,737"
Admiral Schofield\schofad01,
Daishen Nix\nixda01,"$292,466"
Haywood Highsmith\highsha01,"$290,967"
Isaiah Thomas\thomais02,"$276,039"
Trendon Watford\watfotr01,"$260,561"
Ish Wainright\wainris01,"$8,558"
Malik Fitts\fittsma01,"$231,062"
Joe Wieskamp\wieskjo01,"$202,068"
Amir Coffey\coffeam01,"$153,488"
Bismack Biyombo\biyombi01,"$1,366,392"
DeMarcus Cousins\couside01,"$1,290,481"
DeMarcus Cousins\couside01,"$1,290,481"
DeMarcus Cousins\couside01,"$1,290,481"
Lance Stephenson\stephla01,"$924,730"
Lance Stephenson\stephla01,"$924,730"
Lance Stephenson\stephla01,"$924,730"
Lance Stephenson\stephla01,"$924,730"
Isaiah Thomas\thomais02,"$276,039"
Isaiah Thomas\thomais02,"$276,039"
Brandon Knight\knighbr03,
Brandon Knight\knighbr03,
Greg Monroe\monrogr01,"$55,208"
Greg Monroe\monrogr01,"$55,208"
Greg Monroe\monrogr01,"$55,208"
Greg Monroe\monrogr01,"$55,208"
Isaiah Thomas\thomais02,"$276,039"
Lance Stephenson\stephla01,"$924,730"
Armoni Brooks\brookar01,"$1,625,991"
Isaiah Thomas\thomais02,"$276,039"
Troy Williams\willitr02,"$122,741"
Stanley Johnson\johnsst04,"$888,616"
Stanley Johnson\johnsst04,"$888,616"
Stanley Johnson\johnsst04,"$888,616"
Stanley Johnson\johnsst04,"$888,616"
Marquese Chriss\chrisma01,"$958,529"
Marquese Chriss\chrisma01,"$958,529"
Marquese Chriss\chrisma01,"$958,529"
Danuel House Jr.\houseda01,"$2,045,094"
Danuel House Jr.\houseda01,"$2,045,094"
Danuel House Jr.\houseda01,"$2,045,094"
Danuel House Jr.\houseda01,"$2,045,094"
Nik Stauskas\stausni01,
Ryan Arcidiacono\arcidry01,"$586,136"
Ryan Arcidiacono\arcidry01,"$586,136"
Luke Kornet\kornelu01,"$606,702"
Luke Kornet\kornelu01,"$606,702"
Alfonzo McKinnie\mckinal01,"$1,090,007"
Alfonzo McKinnie\mckinal01,"$1,090,007"
Jabari Parker\parkeja01,"$1,068,288"
